Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-10-27,13055.37,13754.04,13050.79,13736.87
2020-10-28,13737.79,13855.11,12906.15,13266.97
2020-10-29,13267,13642.5,12988.06,13412.45
2020-10-30,13410.7,13673.89,13135,13571.37
2020-10-31,13569.02,14072.54,13433.06,13875.37
2020-11-01,13875.29,13891.75,13631.23,13698.19
2020-11-02,13701.09,13828.39,13224.04,13581.91
2020-11-03,13581.16,13847.22,13303.27,13832.39
2020-11-04,13833.74,14256.47,13541.56,14122.59
2020-11-05,14132.21,15561.63,14084.62,15558.93
2020-11-06,15558.93,15947.65,15223.12,15612.12
2020-11-07,15614.27,15764.99,14441.61,14831.86
2020-11-08,14830.73,15653.05,14740.5,15520.06
2020-11-09,15522.37,15809.75,14834.05,15253.8
2020-11-10,15255.27,15476.84,15099.56,15381.51
2020-11-11,15383.44,15978.82,15288.78,15810.4
2020-11-12,15802.06,16341.5,15482.05,16226.29
2020-11-13,16236.67,16481.47,15977.48,16319.21
2020-11-14,16318.59,16354.05,15727.94,16035.72
2020-11-15,16036.14,16156.54,15796.89,15942.33
2020-11-16,15937.06,16876.16,15878.89,16728.02
2020-11-17,16718.7,17852.02,16563.71,17604.11
2020-11-18,17605.71,18461.46,17277.3,17835.16
2020-11-19,17827.97,18167.56,17367.78,17886.25
2020-11-20,17881.16,18812.46,17723.79,18626.02
2020-11-21,18629.04,18965.93,18370.12,18631.79
2020-11-22,18631.52,18756.34,17644.29,18627.71
2020-11-23,18575.37,18693.52,18029.65,18421.21
2020-11-24,18422.32,19418.44,18129.23,19126.95
2020-11-25,19124.04,19487.42,18647.81,18777.45
2020-11-26,18780.77,18904.52,16274.74,17199.82
2020-11-27,17199.37,17478.26,16469.18,16991.34
2020-11-28,16988.16,17892.2,16897.58,17784.84
2020-11-29,17784.14,18345.29,17547.7,18161.34
2020-11-30,18159.02,19841.86,18153.13,19490.32
2020-12-01,19491.65,19909.56,18225.69,18952.18
2020-12-02,18940.97,19332.99,18355.55,19134.12
2020-12-03,19127.29,19604.12,18891.88,19482.7
2020-12-04,19484.85,19550.08,18620.04,18670.06
2020-12-05,18687.68,19172.97,18517.09,19021.04
2020-12-06,19021.57,19333.91,18889.2,19145.13
2020-12-07,19147.05,19413.15,18911.71,19126.24
2020-12-08,19126.86,19294.8,18471.96,18471.96
2020-12-09,18389.36,18604.84,17671.52,18560.06
2020-12-10,18557.67,18639.14,17921.01,18334.59
2020-12-11,18334.6,18382.04,17598.61,18131.57
2020-12-12,18135.04,18941.54,18030.01,18886.51
2020-12-13,18885.34,19414.57,18738.38,19111.32
2020-12-14,19109.56,19332.61,19010.03,19285.96
2020-12-15,19288.4,19552.23,19064.88,19472.69
2020-12-16,19474,21436.94,19299.98,21397.23
2020-12-17,21389.46,23694.54,21235.76,22963.81
2020-12-18,22976.26,23270.31,22359.84,23029.28
2020-12-19,23030.28,24112.65,22796.34,23919.63
2020-12-20,23922.57,24240.62,23108.71,23484.48
2020-12-21,23485.42,24076.71,22040.08,23184.78
2020-12-22,23174.44,23759.17,22386.91,23723.85
2020-12-23,23723.77,24067.12,22666.35,23270.64
2020-12-24,23277.11,23724.85,22722.32,23676.98
2020-12-25,23701.85,24659.39,23420.47,24565.54
2020-12-26,24568,26769.38,24503.49,26376.78
